user_id,timestamp,event_type,ip_address,device_id,amount,trade_volume,instrument,session_id,is_anomaly,anomaly_type,anomaly_severity,user_is_anomalous
1,2024-01-01 00:00:00.000000,login,192.168.71.189,device_21,0.0,0.0,,64886,0,,0.0,False
329,2024-01-01 00:00:00.000000,login,192.168.50.250,device_103,0.0,0.0,,84027,0,,0.0,False
415,2024-01-01 00:00:00.000000,login,192.168.178.48,device_248,0.0,0.0,,11813,0,,0.0,False
470,2024-01-01 00:00:00.000000,login,192.168.183.176,device_155,0.0,0.0,,98151,0,,0.0,False
274,2024-01-01 00:00:00.000000,login,192.168.80.152,device_61,0.0,0.0,,17521,0,,0.0,False
432,2024-01-01 00:00:00.000000,login,192.168.111.151,device_45,0.0,0.0,,15520,0,,0.0,False
64,2024-01-01 00:00:00.000000,login,192.168.226.147,device_264,0.0,0.0,,81726,0,,0.0,False
278,2024-01-01 00:00:00.000000,login,192.168.115.214,device_143,0.0,0.0,,82055,0,,0.0,False
176,2024-01-01 00:00:00.000000,login,192.168.204.158,device_77,0.0,0.0,,66985,0,,0.0,False
474,2024-01-01 00:00:00.000000,login,192.168.83.131,device_293,0.0,0.0,,75149,0,,0.0,False
26,2024-01-01 00:00:00.000000,login,192.168.251.144,device_112,0.0,0.0,,26371,0,,0.0,False
143,2024-01-01 00:00:00.000000,login,192.168.140.18,device_96,0.0,0.0,,79346,0,,0.0,True
144,2024-01-01 00:00:00.000000,login,192.168.184.16,device_236,0.0,0.0,,68606,0,,0.0,False
146,2024-01-01 00:00:00.000000,login,192.168.192.181,device_73,0.0,0.0,,14494,0,,0.0,False
477,2024-01-01 00:00:00.000000,login,192.168.21.130,device_259,0.0,0.0,,99462,0,,0.0,False
404,2024-01-01 00:00:00.000000,login,192.168.63.190,device_147,0.0,0.0,,45531,0,,0.0,False
52,2024-01-01 00:00:00.000000,login,192.168.232.166,device_196,0.0,0.0,,92745,0,,0.0,False
483,2024-01-01 00:00:00.000000,login,192.168.140.109,device_229,0.0,0.0,,81045,0,,0.0,False
155,2024-01-01 00:00:00.000000,login,192.168.204.81,device_114,0.0,0.0,,19516,0,,0.0,False
303,2024-01-01 00:00:00.000000,login,192.168.244.253,device_201,0.0,0.0,,95436,0,,0.0,True
482,2024-01-01 00:00:00.000000,login,192.168.248.227,device_48,0.0,0.0,,33569,0,,0.0,False
358,2024-01-01 00:00:00.000000,login,192.168.202.54,device_100,0.0,0.0,,86396,0,,0.0,False
158,2024-01-01 00:00:00.000000,login,192.168.44.58,device_249,0.0,0.0,,59138,0,,0.0,False
421,2024-01-01 00:00:00.000000,login,192.168.74.16,device_94,0.0,0.0,,68671,0,,0.0,False
47,2024-01-01 00:00:00.000000,login,192.168.84.39,device_100,0.0,0.0,,72752,0,,0.0,False
164,2024-01-01 00:00:00.000000,login,192.168.124.204,device_7,0.0,0.0,,67372,0,,0.0,True
332,2024-01-01 00:00:00.000000,login,192.168.146.64,device_91,0.0,0.0,,11140,0,,0.0,False
3,2024-01-01 00:00:00.000000,login,192.168.160.204,device_22,0.0,0.0,,81932,0,,0.0,False
413,2024-01-01 00:00:00.000000,login,192.168.66.134,device_207,0.0,0.0,,11306,0,,0.0,False
185,2024-01-01 00:00:00.000000,login,192.168.163.250,device_117,0.0,0.0,,41585,0,,0.0,False
269,2024-01-01 00:00:00.000000,login,192.168.151.217,device_36,0.0,0.0,,33252,0,,0.0,True
71,2024-01-01 00:00:00.000000,login,192.168.101.3,device_23,0.0,0.0,,33524,0,,0.0,False
135,2024-01-01 00:00:00.000000,login,192.168.11.19,device_101,0.0,0.0,,79626,0,,0.0,False
72,2024-01-01 00:00:00.000000,login,192.168.109.1,device_51,0.0,0.0,,63932,0,,0.0,False
